Bishop,"ham, pepper jack cheese, sauteed mushrooms and onions"
California,"tomato, lettuce, and mayo"
California Bleu,"crumbled bleu cheese, lettuce, tomato, and blue cheese dressing"
Capture,"corned beef, swiss cheese, sauerkraut, and thosand island (King's version of the Reuben)"
Catcher,"bacon, american cheese, a seasoned potato, and sour cream"
Checkmate,"bacon, cheddar cheese, lettuce, and sour cream"
Chessman,"sauteed mushrooms, and swiss cheese"
Cheeseburger,cheese
Double Play,"swiss cheese, sauteed green peppers and onions"
Hamburger,plain and simple
Homerun,"sliced ham, swiss cheese, lettuce, tomato, and mayo"
King,"bacon, american cheese, sauteed mushrooms and onions"
Knight,"bacon, american cheese, sauteed mushrooms and onions, lettuce, tomato, mayo"
Mudhen,"bacon, swiss cheese, and sauerkraut"
Outfield,"pepperoni, mozzarella cheese, and marinara"
Pawn,"bacon swiss cheese, and homemade BBQ sauce"
Player,"bacon, swiss cheese, lettuce, tomato, and honey mustard"
Queen,American cheese and bacon
Rook,"cheddar cheese, green olives, lettuce and thousand island"
Shut Out,"chipotle sauce, lettuce, tomato, and cheddar cheese"
Umpire,"pepper jack, bacon, homemade horseradish sauce"
Mound,"lettuce, tomato, swiss cheese, and zesty ranch"
On Deck,"lettuce, tomato, spinach mix, raw onion, crumbled bleu cheese, blue cheese dressing, and french dressing"
Pennant,"pesto, sauteed green peppers and onions, pineapple, ham, sauerkraut, and pepper jack cheese"
Slugger,"american cheese, lettuce, tomato, green pepper and homemade horseradish sauce"
Strategy,cheddar cheese and coleslaw
Stealer,"swiss cheese, lettuce, tomato, sour cream, and jerk sauce"
Reliever,"lettuce, tomato, raw onion, mayo and cucumber"
The Walk,"sauteed onions and green peppers, quacomole, lettuce, and pepper jack cheese"
Fast Ball,"green peppers, raw onion, teriyaki sauce, sauteed mushrooms, and swiss cheese"
Garden,"lettuce, tomato, green pepper, raw onion, cucumbers, spinach mix, and ranch"
Grand Slam,"salsa, cheddar cheese, lettuce, tomato, raw onion, and sour cream"
Knuckle Ball,"sauerkraut, marinara, pineapple, jalapenos, mozzarella cheese, and ham"
Locker Room,"spinach, tomato, smoked gouda cheese, marinara, and pesto sauce (aka Italian Dutch Boy)"
Miesville ,"bacon, american cheese, sauteed mushrooms and onions, green peppers, lettuce, tomato, cucumbers, spinach mix and mayo"
